"show_id","type","title","director","cast","country","date_added","release_year","rating","duration","genres","language","description","popularity","vote_count","vote_average","budget","revenue"
"1014214","Movie","Singham Again","Rohit Shetty","Ajay Devgn, Kareena Kapoor Khan, Arjun Kapoor, Ranveer Singh, Tiger Shroff","India","2024-11-01","2024","4.3","","Action, Drama, Thriller, Crime","hi","The cop universe expands with newer additions while the old ones return led by Bajirao Singham. Singham Again interweaves the mythological epic Ramayana's good vs evil narrative when his wife Avni Kamath gets abducted by Danger Lanka setting Bajirao and his gang of Sangram Bhalerao and Veer Sooryavanshi along with Satya and Shakti Shetty on a mission to rescue her.","18.843","22","4.3","0","5866875"
"1084812","Movie","Aavesham","Jithu Madhavan","Fahadh Faasil, Hipster, Mithun Jai Sankar, Roshan Shanavas, Sajin Gopu","India","2024-04-11","2024","7.3","","Comedy, Action","ml","Three college freshmen in Bangalore befriend an eccentric gangster to get revenge on their senior bullies.","18.59","56","7.3","3400000","0"
"1245700","Movie","Sector 36","Aditya Nimbalkar","Vikrant Massey, Deepak Dobriyal, Akash Khurana, Darshan Jariwala, Baharul Islam","India","2024-08-18","2024","7.0","","Crime, Thriller, Drama","hi","When several children disappear at the hands of a serial killer in Sector 36, a corrupt cop is forced to pursue the chilling case at all costs.","18.322","59","7.0","0","0"
"1236671","Movie","Dange","Bejoy Nambiar","Harshvardhan Rane, Ehan Bhat, TJ Bhanu, Nikita Dutta, Taniya Kalra","India","2024-03-01","2024","5.7","","Action, Drama, Thriller","hi","Former friends Xavier and Yuva meet again in college as adversaries when their respective cohorts come to blows during their annual cultural festival.","16.933","3","5.7","0","0"
"980599","Movie","Bhool Bhulaiyaa 3","Anees Bazmee","Kartik Aaryan, Vidya Balan, Madhuri Dixit, Triptii Dimri, Vijay Raaz","India","2024-11-01","2024","5.7","","Horror, Comedy","hi","Rooh Baba ventures into a haunted mansion in the kingdom of Raktaghat in West Bengal, where he confronts two vengeful spirits, both asserting to be Manjulika.","16.49","21","5.7","18000000","0"
"1149791","Movie","Premalu","Girish A. D.","Naslen, Mamitha Baiju, Sangeeth Prathap, Shyam Mohan, Akhila Bhargavan","India","2024-02-09","2024","7.7","","Romance, Comedy","ml","Sachin, a carefree graduate, crosses paths with Reenu, a spirited IT professional, in Hyderabad. As their friendship deepens, unspoken feelings, career ambitions and life choices challenge their bond.","15.878","39","7.7","380000","9000000"
"1069945","Movie","Manjummel Boys","Chidambaram","Soubin Shahir, Sreenath Bhasi, Balu Varghese, Ganapathi S Poduval, Lal Jr.","India","2024-02-22","2024","7.7","","Adventure, Thriller, Drama","ml","Manjummel Boys, based on a real story, is about a bunch of friends who set out on a trip to Kodaikanal and the events that occur there.","14.933","50","7.7","0","0"
"1093966","Movie","Vettaiyan","T. J. Gnanavel","Rajinikanth, Amitabh Bachchan, Fahadh Faasil, Rana Daggubati, Manju Warrier","India","2024-10-10","2024","6.1","","Action, Crime, Drama","ta","A sought-after Supercop gets caught in a series of unexpected events when he encounters a suspect who is accused of being involved in a murder case.","14.378","18","6.1","35500000","30745762"
"936622","Movie","Bade Miyan Chote Miyan","Ali Abbas Zafar","Akshay Kumar, Tiger Shroff, Prithviraj Sukumaran, Sonakshi Sinha, Manushi Chhillar","India","2024-04-11","2024","6.559","","Action, Science Fiction, Thriller","hi","Two elite soldiers with troubled pasts are enlisted for a daring mission when a deadly masked madman threatens India's defenses.","14.234","34","6.559","42105000","0"
"950075","Movie","Sookshmadarshini","MC Jithin","Nazriya Nazim Fahadh, Basil Joseph, Sidharth Bharathan, Deepak Parambol, Merin Philip","India","2024-11-22","2024","7.4","","Mystery, Thriller, Comedy","ml","Manuel returns with his mother to their former home in a middle-class neighbourhood. Suspicious of his intentions, Priyadarshini and her friends begin gathering clues, convinced he may be hiding something sinister.","13.907","15","7.4","0","0"
